OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790141825218|37001021500|Census Tract 215|91578798|2199152|G5020|S|20740308398449|37033930500|Census Tract 9305|158657785|279565|G5020|S|31392|2091
20790141825216|37001021600|Census Tract 216|33246532|808389|G5020|S|20740141825216|37001021600|Census Tract 216|33256749|808389|G5020|S|33245658|808389
20790141825216|37001021600|Census Tract 216|33246532|808389|G5020|S|20740320920556|37081015200|Census Tract 152|72414672|754652|G5020|S|874|0
207903717524822|37001021701|Census Tract 217.01|4251428|63639|G5020|S|207403717524822|37001021701|Census Tract 217.01|4251428|63639|G5020|S|4251428|63639
207903717524820|37001021702|Census Tract 217.02|5518051|44880|G5020|S|207403717524819|37001020601|Census Tract 206.01|5575845|31230|G5020|S|13146|0
207903717524820|37001021702|Census Tract 217.02|5518051|44880|G5020|S|207403717524820|37001021702|Census Tract 217.02|5504905|44880|G5020|S|5504905|44880
207903717524800|37001021703|Census Tract 217.03|23259335|2479757|G5020|S|207403717524800|37001021703|Census Tract 217.03|23259308|2479714|G5020|S|23259256|2479714
207903717524800|37001021703|Census Tract 217.03|23259335|2479757|G5020|S|20740320920670|37081017200|Census Tract 172|103604519|1271910|G5020|S|79|43
207903717524796|37001021801|Census Tract 218.01|81091423|1845429|G5020|S|207403717524800|37001021703|Census Tract 217.03|23259308|2479714|G5020|S|52|0
207903717524796|37001021801|Census Tract 218.01|81091423|1845429|G5020|S|207403717524796|37001021801|Census Tract 218.01|81091371|1845429|G5020|S|81091371|1845429
207903717524858|37001021802|Census Tract 218.02|72581604|644149|G5020|S|207403717524858|37001021802|Census Tract 218.02|72581604|644149|G5020|S|72581604|644149
207903717524878|37001021803|Census Tract 218.03|94817474|1449181|G5020|S|207403717524878|37001021803|Census Tract 218.03|94826797|1449325|G5020|S|94816821|1449181
207903717524878|37001021803|Census Tract 218.03|94817474|1449181|G5020|S|2074018629912|37037020200|Census Tract 202|413257183|2570755|G5020|S|525|0
207903717524878|37001021803|Census Tract 218.03|94817474|1449181|G5020|S|20740320920683|37081017000|Census Tract 170|123506565|955274|G5020|S|128|0
207903717524838|37001021901|Census Tract 219.01|55436267|1335552|G5020|S|207403717524865|37001021102|Census Tract 211.02|10778466|211100|G5020|S|0|294
207903717524838|37001021901|Census Tract 219.01|55436267|1335552|G5020|S|207403717524838|37001021901|Census Tract 219.01|55436267|1335258|G5020|S|55436267|1335258
207903717524883|37001021902|Census Tract 219.02|122168287|1891166|G5020|S|207403717524883|37001021902|Census Tract 219.02|122168287|1889322|G5020|S|122168287|1889291
207903717524883|37001021902|Census Tract 219.02|122168287|1891166|G5020|S|207403717476876|37037020106|Census Tract 201.06|78641974|1280338|G5020|S|0|1875
207903717524825|37001022001|Census Tract 220.01|29404303|1156605|G5020|S|207403717524825|37001022001|Census Tract 220.01|29404303|1156605|G5020|S|29404303|1156605
207903717524864|37001022002|Census Tract 220.02|54949157|813628|G5020|S|207403717524864|37001022002|Census Tract 220.02|55036908|824023|G5020|S|54827481|811823
207903717524864|37001022002|Census Tract 220.02|54949157|813628|G5020|S|20740141043580|37135011203|Census Tract 112.03|160136818|871340|G5020|S|121676|1805
